file,score,danger,sanction,governance,child,exit,clinical
recovered/corpus-v21-v25/vol21-25/vol22/iss1/014-review-of-gustave-stickley-s-craftsman-farms-the-quest-for-an-arts-and-crafts-utopia.txt,8,0,0,2,5,1,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/003-contents.txt,8,2,0,0,2,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/016-review-of-brethren-society-the-cultural-transformation-of-a-peculiar-people-and-fruit-of-the-vine-a-history-of.txt,8,0,0,5,3,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/019-review-of-the-rise-and-fall-of-synanon-a-california-utopia.txt,7,1,0,2,1,1,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/020-review-of-the-hutterites-lives-and-images-of-a-communal-people.txt,7,0,0,0,6,1,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/001-front-matter.txt,6,0,2,0,0,2,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/009-michael-hofer-a-communitarian-in-two-worlds.txt,6,0,0,1,4,1,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/017-review-of-the-findhorn-book-of-community-living.txt,6,0,0,2,2,2,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/018-review-of-the-quest-for-utopia-in-twentieth-century-america-volume-i-1900-1960.txt,6,0,2,1,0,1,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/001-front-matter.txt,6,0,2,0,1,1,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/015-review-of-bones-and-ash.txt,5,1,0,1,1,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/012-cyber-utopias-notes-on-how-historic-american-communal-groups-are-represented-on-the-world-wide-web.txt,5,0,1,1,0,2,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/024-review-of-on-the-backroad-to-heaven-old-order-hutterites-mennonites-amish-and-brethren.txt,5,1,0,2,0,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/017-review-of-communities-directory-a-guide-to-intentional-and-cooperative-living.txt,4,1,0,0,0,1,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/003-from-the-editor.txt,4,0,1,2,0,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/018-review-of-robert-owen-owen-of-new-lanark-and-new-harmony.txt,4,0,0,0,2,2,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/023-review-of-experimental-americans-celo-and-utopian-community-in-the-twentieth-century.txt,4,0,0,3,1,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/015-review-of-more-wives-than-one-transformation-of-the-mormon-marriage-system-1840-1910.txt,4,1,0,1,0,0,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/019-review-of-living-in-utopia-new-zealands-intentional-communities.txt,4,0,0,4,0,0,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/013-review-of-shaking-the-faith-women-family-and-mary-marshall-dyers-anti-shaker-campaign-1815-1867.txt,4,0,0,0,3,1,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/013-review-of-crisis-and-transformation-the-kibbutz-at-centurys-end.txt,3,0,0,1,0,2,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/014-review-of-shared-lives-personal-journeys-the-spirit-of-camphill-soltane.txt,3,0,0,0,2,1,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/013-review-of-ma-jaya-sati-bhagavati-sharing-the-heart-a-guide-to-caregiving.txt,3,0,0,2,1,0,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/002-contents.txt,2,0,0,0,0,2,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/002-contents.txt,2,0,0,1,0,1,0
